feature,importance,shap_importance
district,13840,0.12413335366345869
temp_std,7823,0.07016584000789287
stage_progress,6303,0.056532697119998566
crop,6184,0.05546536553864368
days_since_sowing,6116,0.054855461777869464
rainfall_14d,5433,0.04872951665126959
temp_range,5307,0.04759940085924677
temp_max,5084,0.045599275290825435
gdd_14d,4897,0.04392203994869633
temp_min,4759,0.04268429408124277
temp_mean,4732,0.0424421264115236
rainfall_7d,4575,0.04103396625797135
humidity_max,4557,0.04087252114482524
humidity,4325,0.038791673019830844
rainfall_3d,4262,0.03822661512381943
stage,4203,0.03769743391961827
gdd_7d,4012,0.03598432188567892
rainfall_max_day,3575,0.03206479330540931
vpd_7d,3551,0.03184953315454782
drought_stress_7d,3359,0.030127451947655908
sowing_month,1392,0.012485088749966365
current_month,1146,0.010278672203636102
rainfall_days_7d,650,0.0058299624191653285
cold_days_7d,461,0.004134788731131102
hot_days_7d,370,0.003318593992447956
wet_days_7d,360,0.003228902262922336
is_critical_stage,217,0.0019463105307059637
